Open,High,Low,Close,Adj_close,Volume,Date,Stock_Name
82.379997,82.480003,81.959999,82.050003,75.43029,2387600.0,2017-07-10T00:00:00,COF
82.080002,82.160004,80.800003,81.040001,74.501762,2743500.0,2017-07-11T00:00:00,COF
80.989998,82.379997,80.639999,82.199997,75.568176,2477500.0,2017-07-12T00:00:00,COF
82.25,82.779999,82.019997,82.589996,75.926727,1641400.0,2017-07-13T00:00:00,COF
81.839996,82.860001,81.18,82.5,75.843971,1966200.0,2017-07-14T00:00:00,COF
82.410004,82.589996,81.889999,82.169998,75.540604,1922600.0,2017-07-17T00:00:00,COF
81.720001,81.870003,80.970001,81.57,74.989014,1343000.0,2017-07-18T00:00:00,COF
81.949997,81.989998,80.769997,81.379997,74.814339,3167500.0,2017-07-19T00:00:00,COF
81.209999,81.519997,80.040001,81.010002,74.47419,4966700.0,2017-07-20T00:00:00,COF
85.370003,88.239998,84.550003,87.940002,80.845078,9687000.0,2017-07-21T00:00:00,COF
87.519997,87.550003,86.650002,87.120003,80.09124,3908500.0,2017-07-24T00:00:00,COF
88.0,88.199997,86.660004,87.089996,80.06366,3267400.0,2017-07-25T00:00:00,COF
87.18,87.220001,85.620003,85.709999,78.794991,2504300.0,2017-07-26T00:00:00,COF
85.919998,85.949997,84.400002,84.800003,77.958435,2884200.0,2017-07-27T00:00:00,COF
84.849998,85.139999,83.809998,84.970001,78.114716,3164200.0,2017-07-28T00:00:00,COF
85.419998,86.650002,85.160004,86.18,79.227089,2927400.0,2017-07-31T00:00:00,COF
86.639999,86.730003,85.639999,86.010002,79.070808,2276400.0,2017-08-01T00:00:00,COF
85.849998,86.019997,85.379997,85.709999,78.794991,2696300.0,2017-08-02T00:00:00,COF
85.309998,85.629997,84.489998,84.589996,78.12999,2505000.0,2017-08-03T00:00:00,COF
85.330002,85.419998,84.260002,84.410004,77.963737,2624000.0,2017-08-04T00:00:00,COF
84.620003,85.419998,84.379997,85.150002,78.647217,1388300.0,2017-08-07T00:00:00,COF
85.029999,87.370003,85.029999,85.510002,78.979736,1993600.0,2017-08-08T00:00:00,COF
84.959999,85.279999,84.449997,85.139999,78.637985,1338100.0,2017-08-09T00:00:00,COF
84.5,84.639999,82.989998,83.059998,76.716827,2037000.0,2017-08-10T00:00:00,COF
83.370003,83.470001,82.330002,82.800003,76.476692,1989300.0,2017-08-11T00:00:00,COF
83.809998,84.709999,83.529999,84.260002,77.82518,1782700.0,2017-08-14T00:00:00,COF
84.93,85.120003,83.32,84.150002,77.723564,2313700.0,2017-08-15T00:00:00,COF
84.730003,85.0,83.599998,83.82,77.418785,1192600.0,2017-08-16T00:00:00,COF
83.790001,84.040001,81.959999,81.989998,75.728539,1758100.0,2017-08-17T00:00:00,COF
81.68,82.489998,81.32,81.529999,75.303665,2415300.0,2017-08-18T00:00:00,COF
81.639999,81.730003,81.089996,81.419998,75.202072,1409900.0,2017-08-21T00:00:00,COF
81.709999,82.07,80.790001,81.440002,75.220528,1878500.0,2017-08-22T00:00:00,COF
81.019997,82.120003,81.0,81.290001,75.082001,1150800.0,2017-08-23T00:00:00,COF
81.5,81.839996,81.160004,81.43,75.211304,908800.0,2017-08-24T00:00:00,COF
81.75,82.370003,81.440002,81.489998,75.266739,1204500.0,2017-08-25T00:00:00,COF
81.690002,81.760002,80.349998,80.550003,74.398514,1356100.0,2017-08-28T00:00:00,COF
79.75,79.910004,78.93,79.739998,73.650375,3162800.0,2017-08-29T00:00:00,COF
79.739998,80.75,79.529999,80.089996,73.973648,2096300.0,2017-08-30T00:00:00,COF
80.519997,80.660004,79.5,79.610001,73.530304,3606100.0,2017-08-31T00:00:00,COF
79.860001,80.760002,79.610001,80.309998,74.176842,2438600.0,2017-09-01T00:00:00,COF
