Open,High,Low,Close,Adj_close,Volume,Date,Stock_Name
240.509995,241.940002,238.809998,241.770004,201.315674,2249900.0,2017-07-10T00:00:00,AVGO
242.0,242.600006,239.389999,240.889999,200.582916,2050200.0,2017-07-11T00:00:00,AVGO
243.0,247.179993,241.059998,246.419998,205.187637,2771000.0,2017-07-12T00:00:00,AVGO
247.119995,249.869995,246.550003,247.309998,205.928711,2040000.0,2017-07-13T00:00:00,AVGO
248.630005,250.399994,247.850006,250.289993,208.41008,1441700.0,2017-07-14T00:00:00,AVGO
250.789993,252.360001,248.860001,249.020004,207.352585,1874600.0,2017-07-17T00:00:00,AVGO
247.259995,250.929993,246.059998,250.880005,208.901321,1300300.0,2017-07-18T00:00:00,AVGO
252.0,254.539993,250.550003,254.399994,211.832367,2552600.0,2017-07-19T00:00:00,AVGO
254.5,255.0,252.350006,253.429993,211.024689,1213500.0,2017-07-20T00:00:00,AVGO
251.529999,253.520004,250.460007,253.110001,210.758209,1550400.0,2017-07-21T00:00:00,AVGO
253.289993,253.679993,251.690002,253.029999,210.691589,1363800.0,2017-07-24T00:00:00,AVGO
252.800003,254.410004,250.179993,254.300003,211.7491,1612300.0,2017-07-25T00:00:00,AVGO
254.690002,258.190002,254.619995,257.01001,214.005646,1997100.0,2017-07-26T00:00:00,AVGO
258.209991,258.48999,248.949997,250.949997,208.959625,3201000.0,2017-07-27T00:00:00,AVGO
248.919998,251.119995,247.5,250.369995,208.4767,3191900.0,2017-07-28T00:00:00,AVGO
250.979996,252.449997,245.460007,246.660004,205.387466,1890200.0,2017-07-31T00:00:00,AVGO
248.229996,250.0,246.960007,248.389999,206.828003,1758200.0,2017-08-01T00:00:00,AVGO
254.600006,257.279999,251.059998,253.360001,210.9664,3697000.0,2017-08-02T00:00:00,AVGO
252.809998,253.0,247.229996,250.289993,208.41008,2344700.0,2017-08-03T00:00:00,AVGO
250.740005,250.970001,248.119995,249.169998,207.477463,1345400.0,2017-08-04T00:00:00,AVGO
249.389999,252.889999,248.899994,252.440002,210.200302,1873000.0,2017-08-07T00:00:00,AVGO
251.979996,254.289993,250.419998,251.360001,209.301041,2043900.0,2017-08-08T00:00:00,AVGO
249.529999,250.360001,247.520004,249.169998,207.477463,2125600.0,2017-08-09T00:00:00,AVGO
246.660004,247.0,240.460007,240.710007,200.433075,2903300.0,2017-08-10T00:00:00,AVGO
240.050003,245.240005,238.699997,244.169998,203.314117,1697600.0,2017-08-11T00:00:00,AVGO
246.860001,251.25,246.0,250.910004,208.926331,1673600.0,2017-08-14T00:00:00,AVGO
253.119995,254.059998,251.270004,253.690002,211.24118,2094200.0,2017-08-15T00:00:00,AVGO
254.320007,254.740005,251.809998,253.419998,211.016357,1539400.0,2017-08-16T00:00:00,AVGO
253.0,254.25,246.649994,246.949997,205.628937,2279300.0,2017-08-17T00:00:00,AVGO
247.330002,251.479996,246.130005,249.369995,207.644012,2012600.0,2017-08-18T00:00:00,AVGO
251.889999,251.889999,246.179993,249.619995,207.852188,2069300.0,2017-08-21T00:00:00,AVGO
251.830002,256.190002,251.0,255.190002,212.490189,2691700.0,2017-08-22T00:00:00,AVGO
253.919998,258.910004,253.389999,256.920013,213.93071,2792800.0,2017-08-23T00:00:00,AVGO
258.670013,259.359985,251.100006,255.050003,212.373596,5211900.0,2017-08-24T00:00:00,AVGO
252.25,254.399994,243.779999,245.589996,204.49649,6909900.0,2017-08-25T00:00:00,AVGO
247.039993,247.639999,242.5,243.25,202.548065,3417400.0,2017-08-28T00:00:00,AVGO
241.289993,244.580002,240.029999,241.729996,201.282394,3353600.0,2017-08-29T00:00:00,AVGO
241.559998,246.339996,240.880005,246.020004,204.854568,2192400.0,2017-08-30T00:00:00,AVGO
246.619995,252.529999,245.550003,252.070007,209.892227,2949100.0,2017-08-31T00:00:00,AVGO
252.330002,255.339996,252.300003,252.729996,210.441757,2324200.0,2017-09-01T00:00:00,AVGO
250.119995,252.729996,247.020004,249.050003,207.377533,2430600.0,2017-09-05T00:00:00,AVGO
250.610001,251.309998,247.699997,249.380005,207.652344,1399600.0,2017-09-06T00:00:00,AVGO
249.789993,250.0,246.130005,246.550003,205.295853,1608800.0,2017-09-07T00:00:00,AVGO
245.919998,246.399994,243.100006,244.110001,203.26416,1809400.0,2017-09-08T00:00:00,AVGO
247.080002,248.240005,246.009995,247.740005,206.286789,1687800.0,2017-09-11T00:00:00,AVGO
249.660004,249.740005,245.5,247.139999,205.787155,1839600.0,2017-09-12T00:00:00,AVGO
245.820007,247.910004,245.149994,246.240005,205.037766,2966400.0,2017-09-13T00:00:00,AVGO
244.619995,247.509995,243.240005,246.949997,205.628937,2864500.0,2017-09-14T00:00:00,AVGO
247.630005,251.190002,245.110001,250.550003,208.626541,5006600.0,2017-09-15T00:00:00,AVGO
251.050003,252.830002,248.610001,249.820007,208.869049,2574300.0,2017-09-18T00:00:00,AVGO
251.169998,251.850006,248.330002,249.759995,208.818893,2208800.0,2017-09-19T00:00:00,AVGO
249.740005,249.880005,237.860001,242.910004,203.091721,5701000.0,2017-09-20T00:00:00,AVGO
242.460007,242.699997,238.179993,240.380005,200.97644,2862000.0,2017-09-21T00:00:00,AVGO
238.339996,240.75,238.119995,239.240005,200.023331,2310000.0,2017-09-22T00:00:00,AVGO
237.190002,237.809998,231.529999,235.509995,196.904739,3869200.0,2017-09-25T00:00:00,AVGO
237.880005,239.949997,235.309998,237.270004,198.376236,3901000.0,2017-09-26T00:00:00,AVGO
239.5,242.669998,238.580002,240.580002,201.143646,2648900.0,2017-09-27T00:00:00,AVGO
239.509995,243.360001,239.5,242.940002,203.116837,2193200.0,2017-09-28T00:00:00,AVGO
242.940002,244.279999,241.509995,242.539993,202.782379,1731900.0,2017-09-29T00:00:00,AVGO
245.309998,245.309998,239.75,240.470001,201.051697,1943100.0,2017-10-02T00:00:00,AVGO
240.080002,240.949997,237.889999,239.5,200.240723,2561100.0,2017-10-03T00:00:00,AVGO
238.779999,242.330002,237.509995,242.0,202.330902,2327100.0,2017-10-04T00:00:00,AVGO
